Row,Name,Count,crank1,crankx
50,ESME ,1151,+8Ê ,+110*Ê
51,WILLOW ,1142,+3Ê ,+157*Ê
52,BELLA ,1141,+4Ê ,+462*Ê
53,ANNABELLE ,1108,+10Ê ,+114*Ê
54,IVY ,1103,+12Ê ,+704*Ê
55,AMBER ,1089,+10Ê ,-13Ê
56,EMILIA ,1082,+8Ê ,+96*Ê
57,EMMA ,1071,-2Ê ,-37Ê
58,SUMMER ,1067,-10Ê ,+15Ê
59,HANNAH ,1061,-15Ê ,-47Ê
60,ELEANOR ,1049,-3Ê ,-31Ê
61,HARRIET ,1016,_Ê ,+16Ê
62,ROSE ,990,+6Ê ,+84*Ê
63,AMELIE ,988,-11Ê ,+38*Ê
64,LEXI ,972,-22Ê ,+724*Ê
65,MEGAN ,879,-16Ê ,-55Ê
66,GRACIE ,871,-4Ê ,+72*Ê
67,ZARA ,838,+3Ê ,+29Ê
68,LACEY ,829,-15Ê ,+207*Ê
69,MARTHA ,807,+4Ê ,+67*Ê
70,ANNA ,804,-1Ê ,-20Ê
71,VIOLET ,754,+7Ê ,+536*Ê
72,DARCEY ,727,+12Ê ,+223*Ê
73,MARIA ,707,+10Ê ,+40*Ê
74,MARYAM ,705,+6Ê ,+75*Ê
75,BROOKE ,703,-8Ê ,-1Ê
76,AISHA ,702,+18Ê ,+46*Ê
77,KATIE ,701,+2Ê ,-68Ê
78,LEAH ,683,-7Ê ,-54Ê
79,THEA ,678,+42*Ê ,+177*Ê
80,DARCIE ,677,+23*Ê ,+274*Ê
81,HOLLIE ,673,-6Ê ,-10Ê
82,AMY ,668,-6Ê ,-69Ê
83,MOLLIE ,663,-12Ê ,-3Ê
84,HEIDI ,662,+15Ê ,+108*Ê
84,LOTTIE ,662,+20*Ê ,+160*Ê
86,BETHANY ,648,-9Ê ,-58Ê
87,FRANCESCA ,646,-6Ê ,-8Ê
88,FAITH ,642,-14Ê ,-6Ê
89,HARPER ,623,+71*Ê ,+3636*
90,NANCY ,615,+21*Ê ,+177*Ê
91,BEATRICE ,610,+4Ê ,+133*Ê
92,ISABEL ,608,-7Ê ,-43Ê
93,DARCY ,606,_Ê ,+133*Ê
94,LYDIA ,602,+6Ê ,-24Ê
95,SARAH ,601,+1Ê ,-39Ê
96,SARA ,596,+4Ê ,+52*Ê
97,JULIA ,593,-15Ê ,+164*Ê
98,VICTORIA ,584,-10Ê ,+5*Ê
99,ZOE ,580,-2Ê ,-41Ê
100,ROBYN ,577,+19*Ê ,+68*Ê
101,PENELOPE ,575,+29Ê ,+464Ê
102,FATIMA ,562,+10Ê ,+72Ê
103,NIAMH ,554,-13Ê ,-55Ê
104,ELSA ,537,+79Ê ,+388Ê
104,PAIGE ,537,-6Ê ,-64Ê
106,MILA ,533,+18Ê ,+966Ê
107,ALEXANDRA ,529,-5Ê ,-35Ê
108,IRIS ,522,-2Ê ,+232Ê
109,SKYE ,518,-18Ê ,-1Ê
110,TILLY ,517,-24Ê ,-6Ê
111,ISOBEL ,509,-22Ê ,-58Ê
112,ELOISE ,508,-7Ê ,-29Ê
113,LYLA ,497,+1Ê ,+1602Ê
114,NEVAEH ,490,-7Ê ,+428Ê
115,ANNIE ,484,+10Ê ,+73Ê
115,LARA ,484,-7Ê ,-17Ê
117,MADDISON ,477,-30Ê ,-41Ê
117,MADISON ,477,-25Ê ,-76Ê
119,ANNABEL ,468,-7Ê ,+10Ê
119,SEREN ,468,-10Ê ,+141Ê
121,CLARA ,464,+18Ê ,+147Ê
122,EDITH ,456,+42Ê ,+452Ê
122,ORLA ,456,+10Ê ,+154Ê
124,KEIRA ,447,-14Ê ,-73Ê
125,AALIYAH ,446,-4Ê ,-16Ê
126,ARABELLA ,439,+31Ê ,+293Ê
127,ALEXIS ,437,-7Ê ,+245Ê
128,GABRIELLA ,435,-10Ê ,+52Ê
129,LENA ,424,-1Ê ,+436Ê
130,LAUREN ,415,-4Ê ,-107Ê
131,ZAINAB ,413,-2Ê ,+42Ê
132,ANAYA ,412,+23Ê ,+751Ê
132,FELICITY ,412,+9Ê ,+118Ê
132,SAVANNAH ,412,+1Ê ,+130Ê
135,EDEN ,407,+1Ê ,+68Ê
135,REBECCA ,407,-21Ê ,-109Ê
137,CAITLIN ,401,-23Ê ,-112Ê
138,MYA ,395,-15Ê ,-32Ê
139,LIBBY ,393,-12Ê ,-87Ê
140,LOIS ,389,-3Ê ,-7Ê
141,NICOLE ,388,-3Ê ,-77Ê
142,BONNIE ,384,+29Ê ,+178Ê
143,LAILA ,383,+2Ê ,+99Ê
144,ARIANA ,382,+42Ê ,+415Ê
144,BETSY ,382,+7Ê ,+511Ê
146,LUNA ,380,+79Ê ,+1106Ê
147,NAOMI ,379,-7Ê ,-49Ê
148,PIPPA ,376,+36Ê ,+366Ê
149,NATALIA ,365,-3Ê ,+102Ê
150,CONNIE ,364,-1Ê ,+81Ê
151,HOPE ,362,-17Ê ,+36Ê
152,ESTHER ,361,+5Ê ,+24Ê
153,LILLIE ,360,+2Ê ,+29Ê
154,ESMAE ,358,-1Ê ,+1682Ê
155,ELENA ,357,+4Ê ,+59Ê
156,SKYLA ,356,+20Ê ,+856Ê
157,ELISE ,355,+16Ê ,-60Ê
158,ZAHRA ,353,+9Ê ,+39Ê
159,EVE ,352,-28Ê ,-98Ê
160,LAURA ,349,-14Ê ,-79Ê
161,HANNA ,347,+18Ê ,+206Ê
162,ALISHA ,344,+3Ê ,-100Ê
162,FRANKIE ,344,+33Ê ,+219Ê
164,LEXIE ,336,-50Ê ,+255Ê
165,AYLA ,333,+7Ê ,+442Ê
166,ANYA ,331,-12Ê ,-40Ê
166,NINA ,331,+23Ê ,+64Ê
168,MAJA ,326,-34Ê ,+844Ê
168,ZUZANNA ,326,+12Ê ,+2110Ê
170,ARIA ,321,+44Ê ,+1545Ê
171,LEILA ,319,-28Ê ,+55Ê
172,ELODIE ,316,+22Ê ,+600Ê
173,ALICIA ,313,-24Ê ,-113Ê
174,TIA ,306,-30Ê ,-119Ê
175,ALEENA ,303,-13Ê ,+95Ê
176,LILIANA ,300,+48Ê ,+511Ê
177,EDIE ,299,+35Ê ,+286Ê
178,GEORGINA ,297,-5Ê ,-84Ê
179,AMIRA ,293,+19Ê ,+219Ê
179,DELILAH ,293,+35Ê ,+1438Ê
181,ALEXA ,292,-19Ê ,+426Ê
182,AYESHA ,290,+20Ê ,+53Ê
183,SADIE ,289,-35Ê ,-22Ê
184,ALANA ,288,+23Ê ,+28Ê
184,AUTUMN ,288,+13Ê ,+323Ê
186,MADELEINE ,286,-19Ê ,-117Ê
187,KHADIJA ,284,+17Ê ,+91Ê
188,ALYSSA ,283,-27Ê ,-44Ê
189,KAYLA ,280,-20Ê ,+27Ê
190,INDIA ,279,-48Ê ,-28Ê
191,TABITHA ,278,_Ê ,-1Ê
192,BEAU ,277,-14Ê ,+336Ê
193,LUCIA ,276,-24Ê ,+18Ê
193,NEVE ,276,-1Ê ,-55Ê
195,ANGEL ,275,-18Ê ,-67Ê
196,MARIAM ,274,_Ê ,+12Ê
197,EMELIA ,270,-12Ê ,+175Ê
198,AMINA ,269,+4Ê ,+12Ê
198,MAGGIE ,269,+29Ê ,+230Ê
200,AURORA ,268,+57Ê ,+843Ê
200,MYLA ,268,-12Ê ,+1636Ê
202,MARNIE ,265,+91Ê ,+336Ê
203,FAYE ,262,-21Ê ,-69Ê
203,ZOYA ,262,-28Ê ,+292Ê
205,LYRA ,261,+13Ê ,+1047Ê
205,NADIA ,261,+8Ê ,+30Ê
207,AIMEE ,260,-18Ê ,-160Ê
208,PENNY ,259,+46Ê ,+447Ê
209,AOIFE ,256,-17Ê ,+108Ê
210,OLIVE ,255,+23Ê ,+833Ê
211,JEMIMA ,252,+11Ê ,-22Ê
212,SKYLAR ,247,+64Ê ,+1247Ê
213,KHADIJAH ,246,-6Ê ,+159Ê
214,MAISY ,245,-28Ê ,-52Ê
215,ARYA ,244,+42Ê ,+1621Ê
216,APRIL ,241,+34Ê ,+97Ê
217,JENNIFER ,237,+9Ê ,-130Ê
218,LANA ,236,-4Ê ,+87Ê
218,MACIE ,236,-66Ê ,+176Ê
220,AMAYA ,233,-22Ê ,+728Ê
221,MELISSA ,232,+8Ê ,-138Ê
221,SAFA ,232,-10Ê ,+82Ê
223,ALEXIA ,231,-16Ê ,+104Ê
223,SCARLET ,231,-43Ê ,+139Ê
225,MARY ,229,+19Ê ,-61Ê
225,ROSA ,229,-21Ê ,+106Ê
227,AMELIA-ROSE ,225,-13Ê ,+3498Ê
228,EMMIE ,224,+14Ê ,+211Ê
228,LILY-MAE ,224,+21Ê ,+337Ê
230,CARA ,222,+9Ê ,-40Ê
231,YASMIN ,219,-30Ê ,-117Ê
232,HALLIE ,218,+41Ê ,+301Ê
233,ADA ,217,+47Ê ,+1384Ê
234,BEATRIX ,210,+13Ê ,+606Ê
235,HAFSA ,209,+1Ê ,+49Ê
235,PEARL ,209,+37Ê ,+523Ê
235,RACHEL ,209,-8Ê ,-170Ê
238,ALIZA ,207,+55Ê ,+221Ê
238,EMILIE ,207,-6Ê ,+13Ê
238,INAAYA ,207,-32Ê ,+4360Ê
238,MAIA ,207,+2Ê ,+6Ê
242,AIZA ,206,-6Ê ,+864Ê
242,CORA ,206,+73Ê ,+348Ê
242,LUCIE ,206,-22Ê ,-43Ê
245,MABEL ,205,+20Ê ,+381Ê
246,ZOFIA ,204,+58Ê ,+1066Ê
247,LILY-ROSE ,203,-14Ê ,+454Ê
248,LILAH ,198,+22Ê ,+910Ê
249,ABBIE ,196,-27Ê ,-205Ê
249,INAYAH ,196,+35Ê ,+418Ê
251,GEORGIE ,195,-3Ê ,+106Ê
252,HAZEL ,194,+66Ê ,+154Ê
252,LILA ,194,+38Ê ,+201Ê
254,BELLE ,193,+67Ê ,+955Ê
254,POLLY ,193,-16Ê ,+40Ê
254,TALIA ,193,+1Ê ,-17Ê
257,LILLY-MAE ,190,+67Ê ,+815Ê
258,ANAYAH ,189,+157Ê ,+2939Ê
258,JESSIE ,189,-48Ê ,-55Ê
260,DOLLY ,187,+16Ê ,+1275Ê
260,EBONY ,187,-40Ê ,-145Ê
262,INDIE ,186,+36Ê ,+1574Ê
263,MACEY ,185,-21Ê ,-24Ê
263,NATALIE ,185,-19Ê ,-140Ê
265,KATHERINE ,182,-35Ê ,-163Ê
265,TALLULAH ,182,-9Ê ,+11Ê
267,CATHERINE ,179,-37Ê ,-101Ê
267,ELIANA ,179,+9Ê ,+718Ê
269,LACIE ,178,-50Ê ,+571Ê
270,HALLE ,177,-3Ê ,+28Ê
271,ARIANNA ,176,+51Ê ,+595Ê
271,JOSEPHINE ,176,-14Ê ,-53Ê
271,MILEY ,176,-106Ê ,Ê:Ê
274,FFION ,175,-4Ê ,-103Ê
274,KAITLYN ,175,-34Ê ,-132Ê
276,ANASTASIA ,174,+27Ê ,+81Ê
277,ELLA-ROSE ,173,+52Ê ,+795Ê
277,SYEDA ,173,-8Ê ,-5Ê
279,VANESSA ,172,+5Ê ,+124Ê
280,ALIYAH ,171,+35Ê ,-106Ê
280,PIPER ,171,+212Ê ,+212Ê
282,CONSTANCE ,170,-15Ê ,+58Ê
283,DEMI ,169,-50Ê ,-174Ê
283,ZAYNAB ,169,+30Ê ,+79Ê
285,GABRIELA ,167,-20Ê ,+382Ê
286,AMINAH ,166,-23Ê ,+108Ê
286,CASEY ,166,+1Ê ,-152Ê
286,ELLIE-MAE ,166,-35Ê ,+60Ê
289,JOSIE ,165,-38Ê ,-69Ê
289,MICHELLE ,165,-38Ê ,-11Ê
291,HELENA ,164,+48Ê ,-13Ê
291,TAYLOR ,164,-91Ê ,-160Ê
293,MELODY ,163,-32Ê ,+155Ê
294,VALENTINA ,162,+12Ê ,+382Ê
295,AMARA ,160,+34Ê ,+256Ê
296,ANNABELLA ,159,+33Ê ,+440Ê
296,CAITLYN ,159,-35Ê ,-126Ê
298,AURELIA ,158,+29Ê ,+1319Ê
298,LOUISA ,158,+6Ê ,-102Ê
300,SAMANTHA ,156,+24Ê ,-195Ê
301,AIZAH ,155,+203Ê ,+2896Ê
301,ALICJA ,155,+11Ê ,+2501Ê
301,PRIYA ,155,+35Ê ,+39Ê
304,DIANA ,154,+54Ê ,+217Ê
304,HANA ,154,-4Ê ,-33Ê
306,CLAUDIA ,153,-26Ê ,-94Ê
307,ESMEE ,150,-47Ê ,+465Ê
307,MILLY ,150,+61Ê ,-191Ê
307,PEYTON ,150,-7Ê ,+2223Ê
310,HATTIE ,149,-26Ê ,+357Ê
310,IZABELLA ,149,+8Ê ,+462Ê
312,ALBA ,148,+66Ê ,+1524Ê
312,IMAAN ,148,+33Ê ,-3Ê
312,IQRA ,148,+1Ê ,-63Ê
315,ANTONIA ,147,+38Ê ,-6Ê
315,DESTINY ,147,-25Ê ,-47Ê
315,LILLY-ROSE ,147,-9Ê ,+1963Ê
318,IYLA ,146,+18Ê ,+4280Ê
318,LILLY-MAY ,146,-45Ê ,+754Ê
320,HONEY ,145,-44Ê ,-87Ê
320,ISLA-ROSE ,145,+117Ê ,Ê:Ê
320,TIANA ,145,-74Ê ,-48Ê
323,EVANGELINE ,144,+1Ê ,+640Ê
324,NIA ,143,-51Ê ,-93Ê
324,NICOLA ,143,+11Ê ,-22Ê
326,NIKOLA ,141,-24Ê ,Ê:Ê
326,OPHELIA ,141,-20Ê ,+432Ê
326,SAPPHIRE ,141,-9Ê ,+162Ê
329,AMIRAH ,139,+21Ê ,+154Ê
330,CERYS ,138,-37Ê ,-235Ê
330,KIARA ,138,+60Ê ,+42Ê
330,SASHA ,138,+46Ê ,-174Ê
333,ANA ,137,+64Ê ,+70Ê
333,AVA-ROSE ,137,+12Ê ,Ê:Ê
333,MIRIAM ,137,+22Ê ,-3Ê
336,KITTY ,136,-39Ê ,-99Ê
336,OLIWIA ,136,-56Ê ,+2466Ê
336,PHILIPPA ,136,-30Ê ,-13Ê
339,ATHENA ,135,+98Ê ,+328Ê
339,INAYA ,135,-52Ê ,+573Ê
341,ELISA ,134,+27Ê ,+297Ê
341,IONA ,134,+93Ê ,-20Ê
341,STELLA ,134,+4Ê ,-4Ê
344,BETHAN ,133,-15Ê ,-203Ê
344,FATIMAH ,133,-38Ê ,+62Ê
344,NYLA ,133,+82Ê ,+1371Ê
344,VERITY ,133,+14Ê ,+54Ê
348,AAMINAH ,132,-10Ê ,+226Ê
348,ELLEN ,132,+18Ê ,-224Ê
348,LILLIAN ,132,-9Ê ,+62Ê
348,MADDIE ,132,-59Ê ,-82Ê
348,NOOR ,132,-3Ê ,+6Ê
353,NELL ,131,-8Ê ,-16Ê
354,JOANNA ,130,+88Ê ,-20Ê
354,TEGAN ,130,-11Ê ,-242Ê
356,GABRIELLE ,127,-92Ê ,-219Ê
356,KARA ,127,-6Ê ,-57Ê
356,MINNIE ,127,+12Ê ,+484Ê
359,DANIELLA ,126,-16Ê ,-103Ê
359,DOROTHY ,126,+38Ê ,+713Ê
359,KATE ,126,-41Ê ,-267Ê
359,NEAVE ,126,+225Ê ,+141Ê
363,ALINA ,125,-41Ê ,-56Ê
363,LILIA ,125,-21Ê ,+520Ê
365,EFFIE ,123,+144Ê ,+2437Ê
365,KIERA ,123,-72Ê ,-274Ê
367,CARYS ,122,-39Ê ,-237Ê
367,FLEUR ,122,+48Ê ,-27Ê
367,LIYANA ,122,+21Ê ,+1168Ê
370,BETTY ,121,+86Ê ,+593Ê
370,FEARNE ,121,+122Ê ,+1013Ê
370,YUSRA ,121,+38Ê ,+158Ê
373,CIARA ,120,-20Ê ,-224Ê
373,KYLA ,120,-32Ê ,-50Ê
373,KYRA ,120,-44Ê ,-82Ê
373,NATASHA ,120,-83Ê ,-307Ê
373,SAFAA ,120,+35Ê ,+539Ê
373,SYDNEY ,120,+5Ê ,-155Ê
373,TIANNA ,120,+9Ê ,+43Ê
380,ERICA ,118,+3Ê ,-21Ê
380,MADELINE ,118,-7Ê ,-260Ê
382,ALEKSANDRA ,117,+4Ê ,+1454Ê
383,AMEERA ,116,+18Ê ,+375Ê
383,ELLIE-MAY ,116,-20Ê ,-55Ê
383,RIVER ,116,+301Ê ,+1895Ê
386,AUDREY ,115,+51Ê ,+350Ê
386,LIBERTY ,115,-13Ê ,-205Ê
388,HALIMA ,114,-33Ê ,-40Ê
389,CHARLIE ,113,-91Ê ,-296Ê
389,NORA ,113,+90Ê ,+523Ê
389,PIXIE ,113,+120Ê ,+4209Ê
389,STEPHANIE ,113,+19Ê ,-232Ê
393,EMMY ,112,+67Ê ,+619Ê
393,LILY-MAY ,112,-38Ê ,+208Ê
393,MILENA ,112,+8Ê ,+859Ê
396,DANIELLE ,110,-38Ê ,-275Ê
396,DIYA ,110,+5Ê ,+43Ê
396,VIVIENNE ,110,+41Ê ,+1221Ê
399,BIANCA ,109,+51Ê ,+152Ê
399,COURTNEY ,109,-93Ê ,-353Ê
399,ELA ,109,+80Ê ,+74Ê
399,KATY ,109,+35Ê ,-245Ê
403,CLEO ,108,-45Ê ,+80Ê
403,TIFFANY ,108,-31Ê ,-144Ê
405,CHARLEY ,107,+3Ê ,-203Ê
406,ISOBELLE ,106,-20Ê ,-107Ê
406,KHLOE ,106,-25Ê ,+3319Ê
406,LEYLA ,106,_Ê ,+47Ê
406,LIVIA ,106,+20Ê ,+145Ê
406,SKYLER ,106,+163Ê ,+1430Ê
411,AYAT ,105,+265Ê ,+1541Ê
411,MIA-ROSE ,105,+55Ê ,+1701Ê
411,POPPIE ,105,-17Ê ,+472Ê
411,WIKTORIA ,105,-5Ê ,+4187Ê
415,ANNALISE ,104,-52Ê ,+22Ê
415,BELLA-ROSE ,104,+113Ê ,Ê:Ê
415,CLEMENTINE ,104,+64Ê ,+321Ê
415,ESHAAL ,104,+248Ê ,+3310Ê
415,KIRA ,104,+35Ê ,-230Ê
415,MARGOT ,104,+310Ê ,+1537Ê
415,RIA ,104,-81Ê ,-223Ê
422,ALESSIA ,103,+62Ê ,+300Ê
422,GRACIE-MAE ,103,-21Ê ,+1856Ê
422,HAFSAH ,103,-7Ê ,-82Ê
422,KELSEY ,103,-49Ê ,-290Ê
422,RENEE ,103,+132Ê ,-104Ê
427,ANAIS ,102,+23Ê ,-60Ê
427,CRYSTAL ,102,-69Ê ,-144Ê
427,ERYN ,102,+225Ê ,+154Ê
427,HENRIETTA ,102,+57Ê ,+260Ê
427,LAIBA ,102,+18Ê ,-118Ê
432,AYA ,101,_Ê ,+255Ê
432,AYAH ,101,+152Ê ,+304Ê
432,FLORA ,101,-6Ê ,+7Ê
432,JANNAT ,101,+47Ê ,+326Ê
432,LOUISE ,101,-66Ê ,-355Ê
432,MARLEY ,101,+60Ê ,+451Ê
432,ROSALIE ,101,-38Ê ,+820Ê
439,ADRIANA ,100,+21Ê ,+524Ê
439,BILLIE ,100,+21Ê ,-55Ê
439,DARIA ,100,+45Ê ,+1397Ê
439,KATELYN ,100,-24Ê ,-254Ê
443,ALEEZA ,99,+17Ê ,+158Ê
443,HANIYA ,99,+141Ê ,+1092Ê
443,ROWAN ,99,+126Ê ,+20Ê
446,BLOSSOM ,98,+4Ê ,+937Ê
446,JASMIN ,98,-52Ê ,-225Ê
448,AGNES ,97,+191Ê ,+392Ê
448,ANIKA ,97,-33Ê ,+15Ê
448,ASHLEIGH ,97,-85Ê ,-322Ê
448,BROOKLYN ,97,+44Ê ,+564Ê
448,GENEVIEVE ,97,+2Ê ,-9Ê
448,HAYLEY ,97,-55Ê ,-208Ê
448,KACEY ,97,-60Ê ,-303Ê
448,MACY ,97,-168Ê ,-272Ê
448,MALAIKA ,97,-3Ê ,-192Ê
448,RUTH ,97,-51Ê ,-184Ê
458,EMMELINE ,96,-13Ê ,+1001Ê
458,HARLEY ,96,-21Ê ,-48Ê
460,ANABELLE ,95,-39Ê ,+999Ê
460,HARMONY ,95,-39Ê ,+91Ê
460,SYLVIE ,95,-28Ê ,+298Ê
463,ALAYNA ,94,+3Ê ,+1072Ê
463,PARIS ,94,-66Ê ,-344Ê
465,PRIMROSE ,93,+151Ê ,+2065Ê
465,QUINN ,93,-5Ê ,Ê:Ê
465,SIENA ,93,-50Ê ,+339Ê
468,ALANNAH ,92,-2Ê ,-35Ê
468,CAMILLA ,92,+148Ê ,+170Ê
468,HALEEMA ,92,-85Ê ,-44Ê
468,KAYA ,92,+16Ê ,+60Ê
468,LIA ,92,+93Ê ,-159Ê
473,ALYSSIA ,91,+32Ê ,+239Ê
473,AVA-MAE ,91,+102Ê ,Ê:Ê
473,CHELSEA ,91,-123Ê ,-387Ê
473,EVIE-MAE ,91,+11Ê ,+1242Ê
473,OLIVIA-ROSE ,91,+55Ê ,+1479Ê
478,ISRA ,90,+22Ê ,+258Ê
478,SIMRAN ,90,-12Ê ,-257Ê
478,SUMAYYAH ,90,+64Ê ,-25Ê
481,ARIELLA ,89,+19Ê ,+1136Ê
481,KAYLEIGH ,89,-60Ê ,-393Ê
481,WREN ,89,+47Ê ,+3244Ê
484,MARWA ,88,_Ê ,+337Ê
484,SANA ,88,-76Ê ,-251Ê
486,ALANNA ,87,+130Ê ,-3Ê
486,ALESHA ,87,-108Ê ,-97Ê
486,ASTRID ,87,+140Ê ,+672Ê
486,AYANA ,87,-20Ê ,+2316Ê
486,NYLAH ,87,+130Ê ,Ê:Ê
486,SALMA ,87,-65Ê ,-179Ê
486,SKY ,87,+89Ê ,-163Ê
486,SUMAYA ,87,+68Ê ,-58Ê
494,ELISSA ,86,-38Ê ,+1Ê
494,HARLOW ,86,+145Ê ,Ê:Ê
494,MAE ,86,-44Ê ,-110Ê
494,ORLAITH ,86,+110Ê ,+2036Ê
494,SAFFRON ,86,+6Ê ,-289Ê
494,SERENA ,86,-86Ê ,-216Ê
500,AYSHA ,85,+28Ê ,-84Ê
500,DAISY-MAE ,85,+61Ê ,+883Ê
500,HERMIONE ,85,+42Ê ,-235Ê
503,ALYS ,84,-77Ê ,+233Ê
503,ANGELINA ,84,-95Ê ,-155Ê
503,EVIE-ROSE ,84,+16Ê ,Ê:Ê
503,FRANCES ,84,-37Ê ,-163Ê
503,MANHA ,84,-61Ê ,+2299Ê
508,CALLIE ,83,-118Ê ,-75Ê
508,ELIN ,83,-42Ê ,-45Ê
508,ELLA-MAE ,83,-32Ê ,+375Ê
508,JENNA ,83,-87Ê ,-336Ê
508,LILI ,83,-16Ê ,-157Ê
508,MARGARET ,83,+34Ê ,-30Ê
508,MIYA ,83,+85Ê ,+34Ê
508,RIYA ,83,+20Ê ,-55Ê
516,ANGELA ,82,+53Ê ,-100Ê
516,ERIKA ,82,+123Ê ,+139Ê
516,IDA ,82,+26Ê ,+693Ê
516,THEODORA ,82,+234Ê ,+796Ê
516,YASMINE ,82,+53Ê ,-123Ê
521,EMILIJA ,81,-6Ê ,+1757Ê
521,FERN ,81,+105Ê ,-68Ê
521,JORGIE ,81,-45Ê ,+4077Ê
521,KARINA ,81,+15Ê ,-58Ê
521,NORAH ,81,+142Ê ,+1194Ê
521,RAYA ,81,+54Ê ,+862Ê
527,ANAIYA ,80,+112Ê ,+1188Ê
527,BAILEY ,80,-51Ê ,-155Ê
527,KENDALL ,80,+223Ê ,+1309Ê
527,MILANA ,80,+89Ê ,+2003Ê
527,MORGAN ,80,-85Ê ,-452Ê
527,SAFIYA ,80,-8Ê ,+38Ê
527,TAMARA ,80,+9Ê ,-190Ê
527,TILLIE ,80,-144Ê ,-39Ê
535,EADIE ,79,+1Ê ,+1577Ê
535,GRETA ,79,+164Ê ,+537Ê
535,LEELA ,79,+290Ê ,+717Ê
535,MEREDITH ,79,+128Ê ,+537Ê
535,OTTILIE ,79,+164Ê ,+717Ê
535,TARA ,79,-105Ê ,-309Ê
541,EVALYN ,78,+52Ê ,+4057Ê
541,HIBA ,78,-62Ê ,+280Ê
541,LILLIE-MAE ,78,-85Ê ,+565Ê
541,LINA ,78,-22Ê ,+77Ê
541,NIEVE ,78,-22Ê ,+49Ê
541,RHEA ,78,-49Ê ,-220Ê
547,ALIVIA ,77,+28Ê ,+912Ê
547,ALIYA ,77,-28Ê ,-138Ê
547,ANIYAH ,77,+137Ê ,Ê:Ê
547,DEBORAH ,77,+28Ê ,-97Ê
547,EMAAN ,77,+4Ê ,+416Ê
547,ESMAY ,77,+37Ê ,Ê:Ê
547,JULIETTE ,77,-28Ê ,-47Ê
547,MAISEY ,77,-117Ê ,+71Ê
547,MYAH ,77,-19Ê ,+189Ê
547,SCARLETT-ROSE ,77,+14Ê ,Ê:Ê
547,SHANNON ,77,-19Ê ,-493Ê
558,CECILIA ,76,-11Ê ,+246Ê
558,ENYA ,76,+154Ê ,+43Ê
558,JADE ,76,-182Ê ,-468Ê
558,LAYLA-ROSE ,76,+244Ê ,Ê:Ê
558,MALI ,76,-113Ê ,+60Ê
563,FREYJA ,75,+136Ê ,+241Ê
563,KIMBERLEY ,75,-97Ê ,-347Ê
563,LEIA ,75,-16Ê ,+63Ê
563,MEADOW ,75,+170Ê ,+896Ê
563,SAOIRSE ,75,-48Ê ,+277Ê
563,SHANAYA ,75,+53Ê ,+1273Ê
563,VERONICA ,75,+239Ê ,+258Ê
570,BRIANNA ,74,+38Ê ,-97Ê
570,ETTA ,74,+38Ê ,+3155Ê
570,MIRA ,74,+312Ê ,+1708Ê
570,SAFIYYAH ,74,-104Ê ,+11Ê
570,SIENNA-ROSE ,74,-61Ê ,Ê:Ê
570,ZOEY ,74,+14Ê ,+965Ê
